478,857
1607,1763
23992,24081
24288,24347
24292,24347
24296,24367
24860,24883
25463,25485
25834,25858
26194,30736
26250,26439
26514,26537
27014,27367
27041,27367
29279,29858
29320,29357
29382,29858
30523,30608
30647,30684
30668,30684
32249,32326
32288,32326
32290,32326
32352,32813
32858,33036
51342,54104
53443,53451
53473,53481
53491,53510
53503,53510
53775,53985
54010,54093
54125,54186
54132,54186
54218,54308
56201,56943
56282,56320
56284,56320
56383,56446
56389,56446
56526,56584
57775,57844
57837,57844
57974,57980
58092,58098
58212,58217
58313,58322
58343,58362
58381,58404
58644,58665
58694,58717
58730,58744
58761,58784
58816,58827
58847,58862
58890,58901
58924,58933
58963,59541
58977,58987
59004,59021
59010,59021
59097,59104
59141,59151
59173,59184
59226,59234
59255,59267
59294,59306
59322,59338
59366,59383
59408,59419
59446,59453
59482,59493
59515,59523
59549,59561
59591,59599
59630,59641
59667,59678
60352,60398
60357,60398
66745,71993
69482,71993
80228,81177
81123,81177
81340,81347
81473,81480
81594,81600
81716,81723
81838,81844
81961,81967
82068,82081
82115,82133
82160,82178
82272,82290
82310,82334
82353,82369
82381,82403
82418,82443
82455,82471
82482,82501
84915,85602
84923,85602
85892,85969
86053,86123
86230,86348
86409,86479
86549,86617
86688,86754
86826,86891
86962,87030
87099,87168
87246,87314
87387,87435
87442,87526
87591,87663
87735,87804
87875,87943
88019,88085
88157,88227
89867,89956
89974,90040
89980,90040
90055,90083
92702,94526
92709,94526
92726,94526
98294,98321
1.0928e+05,1.0962e+05
1.2892e+05,1.2898e+05
1.297e+05,1.2979e+05
1.2996e+05,1.3003e+05
1.2997e+05,1.3003e+05
1.3007e+05,1.3013e+05
1.3252e+05,1.3253e+05
1.3255e+05,1.3256e+05
1.3258e+05,1.3259e+05
1.3269e+05,1.3287e+05
1.3306e+05,1.3314e+05
1.3316e+05,1.3319e+05
1.335e+05,1.3356e+05
1.4788e+05,1.4799e+05
1.4809e+05,1.4815e+05
1.4812e+05,1.4815e+05
1.4818e+05,1.5092e+05
1.5669e+05,1.5678e+05
1.5703e+05,1.5708e+05
1.5762e+05,1.5764e+05
1.7018e+05,1.7703e+05
1.7024e+05,1.7703e+05
1.7028e+05,1.7032e+05
1.7028e+05,1.7032e+05
1.7034e+05,1.7103e+05
1.7422e+05,1.748e+05
1.7426e+05,1.743e+05
1.7426e+05,1.743e+05
1.7432e+05,1.748e+05
1.786e+05,1.7926e+05
1.8754e+05,1.8758e+05
1.8824e+05,1.9345e+05
1.8862e+05,1.8873e+05
1.8879e+05,1.8892e+05
1.8898e+05,1.8909e+05
1.8916e+05,1.8928e+05
1.893e+05,1.8931e+05
1.8934e+05,1.8948e+05
1.8956e+05,1.8967e+05
1.8974e+05,1.8985e+05
1.8991e+05,1.9002e+05
1.9008e+05,1.9017e+05
1.9023e+05,1.9033e+05
1.904e+05,1.9051e+05
1.9057e+05,1.9067e+05
1.9074e+05,1.9083e+05
1.9091e+05,1.9099e+05
1.9108e+05,1.9116e+05
1.9124e+05,1.9132e+05
1.9141e+05,1.9148e+05
1.9158e+05,1.9164e+05
1.9175e+05,1.9181e+05
1.9195e+05,1.9201e+05
1.9214e+05,1.922e+05
1.9235e+05,1.9241e+05
1.9257e+05,1.9263e+05
1.9279e+05,1.9285e+05
1.9346e+05,1.9398e+05
1.944e+05,1.9776e+05
1.9462e+05,1.9468e+05
1.9474e+05,1.9479e+05
1.9485e+05,1.949e+05
1.9496e+05,1.9501e+05
1.9507e+05,1.9512e+05
